property_type,price,location,city,province_name,latitude,longitude,baths,area_sqft,purpose,bedrooms,year,month,day
House,18.012712520663676,Valencia Housing Society,Lahore,Punjab,31.400096,74.259682,0.0,9.010039498716473,For Sale,0.0,2019,4,3
House,16.300417291085605,Al-Raheem Garden,Lahore,Punjab,31.597234000000004,74.474513,5.0,7.399098344224535,For Sale,5.0,2019,7,3
House,17.50439003707821,EME Society,Lahore,Punjab,31.437744,74.21349000000001,7.0,8.602640345647105,For Sale,6.0,2019,4,4
House,18.938397268358436,Gulberg,Lahore,Punjab,31.505678000000003,74.348202,7.0,9.010039498716473,For Sale,5.0,2019,7,3
House,16.648723960844016,Mateen Avenue,Lahore,Punjab,31.441992,74.291389,6.0,7.879227137819032,For Sale,5.0,2019,3,5
House,17.6762402900575,EME Society,Lahore,Punjab,31.434668,74.214005,0.0,8.602640345647105,For Sale,0.0,2019,5,3
House,16.648723960844016,Paragon City,Lahore,Punjab,31.530739,74.456184,5.0,7.9096767685629406,For Sale,5.0,2019,6,11
House,17.034386422832473,IEP Engineers Town,Lahore,Punjab,31.402513,74.292798,5.0,8.497300640077032,For Sale,4.0,2019,2,1
House,16.68340951682656,Bahria Town,Lahore,Punjab,31.374195,74.191482,6.0,7.9096767685629406,For Sale,5.0,2019,5,3
House,16.677711496036597,Bahria Town,Lahore,Punjab,31.374195,74.191482,6.0,7.9096767685629406,For Sale,5.0,2019,5,3
House,17.370858648025116,Askari,Lahore,Punjab,31.533849,74.409633,5.0,8.440154467262884,For Sale,4.0,2019,6,18
House,16.906553056777135,Askari,Lahore,Punjab,31.537458,74.41332299999999,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.97251102166758,Askari,Lahore,Punjab,31.533161,74.419481,6.0,7.9096767685629406,For Sale,5.0,2019,6,18
House,17.541204009297314,Askari,Lahore,Punjab,31.533161,74.419481,6.0,8.602640345647105,For Sale,5.0,2019,6,18
House,16.951004817371683,Askari,Lahore,Punjab,31.533161,74.419481,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.951004817371683,Askari,Lahore,Punjab,31.53327,74.41358000000001,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.835935492889124,Askari,Lahore,Punjab,31.536068,74.408666,4.0,7.9096767685629406,For Sale,3.0,2019,6,18
House,16.860033043306743,Askari,Lahore,Punjab,31.536068,74.408666,4.0,7.9096767685629406,For Sale,3.0,2019,6,18
House,16.770420889081343,Architects Engineers Housing Society,Lahore,Punjab,31.443749,74.259152,7.0,7.9096767685629406,For Sale,5.0,2019,2,3
House,15.856731016694035,Paragon City,Lahore,Punjab,31.533372,74.45134200000001,4.0,6.993932975223281,For Sale,3.0,2019,6,12
House,16.88356353960952,DHA Defence,Lahore,Punjab,31.469155,74.47055300000001,5.0,7.9096767685629406,For Sale,4.0,2019,6,25
House,16.283610174181653,Bahria Town,Lahore,Punjab,31.374414,74.177749,4.0,7.216893023463281,For Sale,3.0,2019,5,3
House,17.0926553286923,DHA Defence,Lahore,Punjab,31.469155,74.47055300000001,5.0,8.246043043863073,For Sale,4.0,2019,6,25
House,18.064005814299346,DHA Defence,Lahore,Punjab,31.469155,74.47055300000001,7.0,9.010039498716473,For Sale,6.0,2019,6,18
House,17.71748324774094,DHA Defence,Lahore,Punjab,31.469155,74.47055300000001,6.0,8.602640345647105,For Sale,5.0,2019,6,25
